Step,Attacker Reward,Defender Reward
1,0.125,0.25
2,0.1875,0.1875
3,0.1875,0.25
4,0.1875,0.3125
5,0,0.4375
6,0.125,0.3125
7,0.0625,0.625
8,0.125,0.5
9,0.0625,0.5625
10,0.1875,0.4375
11,0.125,0.5625
12,0.25,0.5625
13,0,0.8125
14,0.125,0.75
15,0.1875,0.875
16,0.1875,0.75
17,0.125,1
18,0.125,1
19,0,0.875
20,0.1875,0.9375
21,0.1875,0.9375
22,0.3125,0.9375
23,0.0625,0.9375
24,0.1875,0.9375
25,0.125,1
26,0.0625,0.8125
27,0.1875,0.9375
28,0.125,1
29,0.0625,1
30,0.1875,1
31,0.125,1
32,0.1875,1
33,0.125,1
34,0.25,1
35,0.125,1
36,0.1875,1
37,0.125,1
38,0.1875,0.9375
39,0.25,1
40,0.25,1
41,0.15625,0.9375
42,0.375,0.9375
43,0.0625,0.9375
44,0.1875,0.9375
45,0.1875,0.9375
46,0.0625,1
47,0.125,0.8125
48,0.1875,0.9375
49,0.21875,1
50,0.21875,1
51,0.09375,1
52,0.21875,1
53,0.125,1
54,0.1875,1
55,0.125,0.9375
56,0.21875,1
57,0.125,1
58,0.21875,1
59,0.15625,0.9375
60,0.1875,1
61,0.125,1
62,0.35416667,0.979166667
63,0.08333333,0.979166667
64,0.16666667,0.979166667
65,0.14583333,1
66,0.0625,0.9375
67,0.10416667,0.958333333
68,0.1875,1
69,0.20833333,1
70,0.14583333,0.958333333
71,0.08333333,1
72,0.29166667,1
73,0.16666667,1
74,0.14583333,1
75,0.10416667,0.979166667
76,0.14583333,1
77,0.10416667,1
78,0.14583333,0.979166667
79,0.125,1
80,0.20833333,1
